# This file contains all non-dominated populations of all generations.
RS#	Cum.Gen	Index	Objective1	Objective2	Rank	CrowdingDistance	FieldID_1	FieldID_2	FieldID_3	FieldID_4	FieldID_5	FieldID_6	FieldID_7	FieldID_8	FieldID_9	FieldID_10	FieldID_11	FieldID_12	FieldID_13	FieldID_14	FieldID_15	FieldID_16	FieldID_17	FieldID_18	FieldID_19	FieldID_20	FieldID_21	FieldID_22	FieldID_23	FieldID_24	FieldID_25	FieldID_26	FieldID_27	FieldID_28	FieldID_29	FieldID_30	FieldID_31	FieldID_32	FieldID_33	FieldID_34	FieldID_35	FieldID_36	FieldID_37	FieldID_38	FieldID_39	FieldID_40	FieldID_41	FieldID_42	FieldID_43	FieldID_44	FieldID_45	FieldID_46	FieldID_47	FieldID_48	FieldID_49	FieldID_50	FieldID_51	FieldID_52	FieldID_53	FieldID_54	FieldID_55	FieldID_56	FieldID_57	FieldID_58	FieldID_59	FieldID_60	FieldID_61	FieldID_62	FieldID_63	FieldID_64	FieldID_65	FieldID_66	FieldID_67	FieldID_68	FieldID_69	FieldID_70	FieldID_71	FieldID_72	FieldID_73	FieldID_74	FieldID_75	FieldID_76	FieldID_77	FieldID_78	FieldID_79	FieldID_80	FieldID_81	FieldID_82	FieldID_83	FieldID_84	FieldID_85	FieldID_86	FieldID_87	FieldID_88
0	2	13	-9.952364e+000	2.908777e+005	1	4.019947e-002	0	0	0	0	0	3	3	0	6	0	0	1	0	0	0	0	4	0	0	0	5	0	0	0	0	0	0	0	5	4	0	5	0	2	0	3	0	5	1	0	0	1	0	1	0	1	2	0	0	1	0	0	0	0	1	0	1	6	0	0	0	0	0	0	0	1	0	0	1	1	0	3	5	5	4	3	5	2	1	5	0	0	0	0	0	0	0	0	
0	2	14	-2.550411e+001	5.189531e+005	1	6.789344e-002	0	0	0	0	0	5	2	0	6	0	0	1	0	5	1	3	5	3	0	0	4	0	2	0	0	0	0	0	2	3	0	0	1	2	5	2	0	4	0	0	0	0	0	1	0	1	2	0	0	1	0	0	1	0	1	0	1	0	0	0	6	0	0	1	0	1	0	1	0	1	1	0	5	5	2	5	4	5	0	5	0	0	1	0	0	0	1	1	
0	2	15	-1.926498e+001	4.606359e+005	1	9.877243e-002	0	0	0	0	1	0	2	0	6	0	0	0	5	3	1	5	5	0	2	1	3	0	2	0	0	0	0	0	4	3	0	2	1	5	3	0	0	5	0	0	0	0	0	1	0	0	4	1	0	0	6	0	1	0	1	0	0	6	1	0	0	1	0	0	0	1	0	1	0	1	0	5	0	3	2	0	5	2	0	2	0	0	1	1	1	0	1	0	
0	2	16	-3.032256e+001	5.709610e+005	1	5.956443e-002	0	0	0	0	0	5	0	0	0	0	0	1	5	0	1	3	4	0	2	1	3	0	4	1	0	0	0	0	3	3	0	0	1	5	2	5	1	4	0	0	0	0	0	1	0	0	5	0	0	1	0	6	1	0	0	0	1	6	1	0	0	1	0	0	0	0	0	0	1	0	1	5	4	0	2	2	4	2	1	3	0	0	1	1	0	1	0	0	
0	2	17	-2.159439e+001	5.081666e+005	1	9.898565e-002	0	0	0	0	0	5	3	0	6	0	0	1	5	3	1	0	2	2	2	0	2	0	5	0	0	0	6	0	5	0	0	2	0	4	3	5	1	5	0	0	0	0	0	1	0	1	4	1	0	0	0	0	0	0	1	0	1	0	1	0	6	0	0	0	0	0	0	1	0	0	0	3	5	2	5	4	5	5	0	4	0	0	1	1	0	1	1	0	
0	2	18	-4.149032e+001	7.901035e+005	1	3.834868e-002	0	0	0	0	0	3	5	0	0	0	0	0	4	0	0	0	0	2	5	0	4	0	4	1	6	0	6	0	3	3	0	5	0	4	3	3	0	2	1	0	0	0	0	1	0	1	0	1	0	1	6	6	0	0	0	0	1	6	1	0	6	1	0	1	0	1	0	1	1	0	0	3	0	5	5	2	5	0	0	5	0	0	0	0	1	0	0	0	
0	2	19	-3.857898e+001	6.789774e+005	1	1.136032e-001	0	0	0	0	0	3	5	0	6	0	0	0	5	3	0	3	0	5	2	0	2	0	3	1	6	0	6	0	0	0	0	0	0	3	0	5	1	2	0	0	0	0	0	1	0	1	2	0	0	1	0	6	0	0	0	0	1	6	1	0	6	0	0	1	0	1	0	1	1	0	1	3	5	2	0	0	0	5	0	2	0	0	1	1	1	1	0	0	
0	2	20	-3.339101e+001	6.258660e+005	1	8.280897e-002	0	0	0	0	1	0	0	0	0	0	0	0	4	0	1	4	5	3	5	0	2	0	0	1	6	0	6	0	3	0	0	0	1	3	2	3	0	0	0	0	0	1	0	1	0	1	4	0	0	0	6	6	1	0	1	0	1	0	1	6	0	1	0	0	0	0	0	1	1	0	1	5	4	5	5	2	3	4	1	5	0	0	0	1	1	0	1	0	
0	2	21	-3.045160e+001	5.779120e+005	1	5.308325e-002	0	0	0	0	0	5	0	0	0	0	0	1	5	5	1	3	4	0	2	1	3	0	4	1	0	0	0	0	3	3	0	0	1	5	2	5	1	4	0	0	0	0	0	1	0	0	5	0	0	1	0	6	1	0	0	0	1	6	1	0	0	1	0	0	0	0	0	0	1	0	1	5	4	0	2	2	4	2	1	3	0	0	1	1	0	1	0	0	
0	2	22	-4.296547e+001	8.019590e+005	1	7.130603e-002	0	0	0	0	0	3	5	0	0	0	0	0	4	0	0	0	0	2	5	0	4	0	4	1	6	0	6	0	3	3	0	5	0	4	3	3	0	2	1	0	0	0	0	1	0	1	0	1	0	1	6	6	0	0	0	0	1	6	1	0	6	1	0	1	0	1	0	1	1	0	0	3	0	5	5	2	5	3	0	4	0	0	0	0	1	0	0	0	
0	2	23	-3.223552e+001	6.093387e+005	1	6.154539e-002	0	0	0	0	0	4	2	0	0	0	0	0	0	3	0	0	5	4	3	1	0	0	0	0	0	0	0	0	2	4	0	2	0	5	0	3	1	4	0	0	0	0	0	0	0	1	5	0	0	0	6	6	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	5	2	3	3	0	3	0	0	0	1	1	0	0	1	
0	2	24	-4.686640e+001	9.669894e+005	1	1.000000e+014	0	0	0	0	0	4	4	0	0	0	0	1	0	0	0	5	4	3	2	1	4	0	5	0	6	0	6	0	3	4	0	4	0	2	0	5	1	2	0	0	0	0	0	0	0	1	5	0	0	0	6	6	1	0	1	0	1	6	1	6	6	1	0	0	0	1	0	1	0	1	1	5	5	5	5	0	2	3	0	2	0	0	0	1	0	1	1	0	
0	2	25	-4.023889e+001	7.778357e+005	1	9.722484e-002	0	0	0	0	1	5	5	0	6	0	0	0	3	0	0	3	0	5	2	0	5	0	2	0	6	0	0	0	5	3	0	4	1	3	3	5	0	2	0	0	0	0	0	1	0	1	5	0	0	0	0	6	1	0	0	0	1	6	1	6	6	0	0	1	0	0	0	0	0	1	0	3	5	2	0	5	0	4	1	2	0	0	0	1	0	0	0	1	
0	2	26	-1.193781e+001	4.027270e+005	1	2.533768e-002	0	0	0	0	0	2	0	0	0	0	0	0	0	5	1	3	4	0	3	1	5	0	4	0	0	0	6	0	0	5	0	0	1	2	5	4	0	5	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	6	0	6	0	0	0	0	0	1	0	1	1	0	0	5	3	3	4	0	0	4	0	2	0	0	1	0	0	0	1	1	
0	2	27	-1.707634e+001	4.541045e+005	1	5.078973e-002	0	0	0	0	1	3	5	0	6	0	0	0	5	5	0	2	2	2	3	0	0	0	4	1	6	0	6	0	4	4	0	5	0	2	0	3	0	4	1	0	0	1	0	0	0	1	5	1	0	1	0	0	1	0	1	0	0	6	1	6	0	0	0	0	0	1	0	0	1	0	0	3	2	5	5	5	3	2	0	4	0	0	1	0	0	1	0	0	
0	2	28	-1.024103e+001	3.099433e+005	1	9.507944e-002	0	0	0	0	0	3	3	0	6	0	0	1	0	0	0	0	4	0	0	0	5	0	0	0	0	0	0	0	5	4	0	5	0	2	5	3	0	5	1	0	0	1	0	1	0	1	2	0	0	1	0	0	0	0	1	0	1	6	0	0	0	0	0	0	0	1	0	0	1	1	0	3	5	5	4	3	5	2	1	5	0	0	0	0	0	0	0	0	
0	2	29	-4.620402e+001	9.208441e+005	1	5.380568e-002	0	0	0	0	0	4	4	0	0	0	0	1	0	0	0	5	4	3	2	1	0	0	5	0	0	0	0	0	3	4	0	4	0	2	0	5	1	2	0	0	0	0	0	0	0	1	5	0	0	0	6	6	1	0	1	0	1	6	1	6	6	1	0	0	0	1	0	1	0	1	1	5	5	5	5	0	2	3	0	2	0	0	0	1	0	1	1	0	
0	2	30	-8.873127e+000	2.794184e+005	1	1.000000e+014	0	0	0	0	0	3	3	0	6	0	0	0	0	0	0	0	4	0	0	0	5	0	0	0	0	0	0	0	5	4	0	5	0	2	0	3	0	5	1	0	0	1	0	1	0	1	2	0	0	1	0	0	0	0	1	0	1	6	0	0	0	0	0	0	0	1	0	0	1	0	0	3	5	5	4	3	5	2	1	5	0	0	0	0	0	0	0	0	
0	2	31	-1.580145e+001	4.534730e+005	1	9.203412e-002	0	0	0	0	0	5	3	0	6	0	0	0	5	2	0	2	2	5	5	0	0	0	0	0	6	0	6	0	5	4	0	5	1	4	0	2	0	4	1	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	6	1	6	0	0	0	1	0	0	0	0	1	1	1	4	0	3	5	5	0	2	1	3	0	0	0	0	1	1	1	1	
0	2	32	-4.369279e+001	8.520828e+005	1	2.576244e-002	0	0	0	0	0	3	4	0	6	0	0	0	3	3	0	2	2	5	3	1	3	0	4	0	6	0	6	0	5	2	0	5	0	2	3	2	1	0	1	0	0	1	0	1	0	1	4	1	0	1	6	6	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	1	2	5	2	2	5	3	0	1	0	0	0	0	0	1	1	0	0	
0	2	33	-4.588394e+001	9.037224e+005	1	4.941551e-002	0	0	0	0	1	0	5	0	0	0	0	1	3	0	0	5	3	0	5	1	5	0	4	1	6	0	0	0	5	4	0	5	0	2	2	2	0	0	1	0	0	0	0	0	0	1	4	0	0	1	6	6	1	0	1	0	0	6	0	0	6	1	0	1	0	0	0	0	1	0	1	3	3	2	3	2	2	4	0	2	0	0	1	0	0	1	1	0	
